undefinedGO type	GO ID	GO term	Level	Occ. Ref.	Freq. Ref.	Occ. set	Freq. set	Ratio	E/D	Pval.	Pval. Bonferroni	Pval. BH	P(A|B)%	P(B|A)%
biological_process  	 GO:0016339  	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules  	5	31 	0.001771  	2   	0.222222  	125.41x  	E  	0.0001079928  	0.103133124  	0.0627610163520757  	 	 
biological_process  	 GO:0050918  	positive chemotaxis  	4, 5	60 	0.003427  	2   	0.222222  	64.83x  	E  	0.0004063169  	0.3880326395  	0.0627610163520757  	 	 
biological_process  	 GO:1905243  	cellular response to 3,3",5-triiodo-L-thyronine  	6, 7	1 	5.7E-5  	1   	0.111111  	1915.71x  	E  	0.0005141094  	0.490974477  	0.0627610163520757  	 	 
biological_process  	 GO:0009653  	anatomical structure morphogenesis  	2, 3	2611 	0.149149  	6   	0.666667  	4.47x  	E  	0.0005673731  	0.5418413105  	0.0627610163520757  	 	 
biological_process  	 GO:0040011  	locomotion  	1	1814 	0.103622  	5   	0.555556  	5.36x  	E  	0.0009680971  	0.9245327305  	0.0627610163520757  	 	 
biological_process  	 GO:2000729  	positive regulation of mesenchymal cell proliferation involved in ureter development  	3, 4, 5, 6, 7, 8, 9, 10	2 	0.000114  	1   	0.111111  	966.18x  	E  	0.001027749  	0.981500295  	0.0627610163520757  	 	 
biological_process  	 GO:0032796  	uropod organization  	5	2 	0.000114  	1   	0.111111  	966.18x  	E  	0.001027749  	0.981500295  	0.0627610163520757  	 	 
biological_process  	 GO:1902766  	skeletal muscle satellite cell migration  	4, 5	2 	0.000114  	1   	0.111111  	966.18x  	E  	0.001027749  	0.981500295  	0.0627610163520757  	 	 
biological_process  	 GO:1905242  	response to 3,3",5-triiodo-L-thyronine  	5, 6	2 	0.000114  	1   	0.111111  	966.18x  	E  	0.001027749  	0.981500295  	0.0627610163520757  	 	 
biological_process  	 GO:0072198  	mesenchymal cell proliferation involved in ureter development  	3, 5, 6, 7, 8	3 	0.000171  	1   	0.111111  	645.99x  	E  	0.001540919  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0055096  	low-density lipoprotein particle mediated signaling  	4, 5, 6, 7	3 	0.000171  	1   	0.111111  	645.99x  	E  	0.001540919  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0055095  	lipoprotein particle mediated signaling  	3, 4, 5	3 	0.000171  	1   	0.111111  	645.99x  	E  	0.001540919  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072199  	regulation of mesenchymal cell proliferation involved in ureter development  	4, 5, 6, 7, 8, 9	3 	0.000171  	1   	0.111111  	645.99x  	E  	0.001540919  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0006928  	movement of cell or subcellular component  	2	2042 	0.116646  	5   	0.555556  	4.76x  	E  	0.001651394  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0044106  	cellular amine metabolic process  	4, 5	128 	0.007312  	2   	0.222222  	30.39x  	E  	0.001815519  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0002009  	morphogenesis of an epithelium  	4, 5	537 	0.030675  	3   	0.333333  	10.87x  	E  	0.002002334  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072513  	positive regulation of secondary heart field cardioblast proliferation  	3, 4, 5, 6, 7, 8, 9, 10, 11, 12	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0071698  	olfactory placode development  	4	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072107  	positive regulation of ureteric bud formation  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0061502  	early endosome to recycling endosome transport  	5, 6	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0030910  	olfactory placode formation  	4, 5, 6, 7, 8	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0061055  	myotome development  	3, 5, 6	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0090191  	negative regulation of branching involved in ureteric bud morphogenesis  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072095  	regulation of branch elongation involved in ureteric bud branching  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0071699  	olfactory placode morphogenesis  	4, 5, 6	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0061551  	trigeminal ganglion development  	6, 7, 8, 9	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072106  	regulation of ureteric bud formation  	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:1905278  	positive regulation of epithelial tube formation  	3, 4, 5, 6, 7, 8, 9	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072191  	ureter smooth muscle development  	5, 6, 7, 8	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0072193  	ureter smooth muscle cell differentiation  	6, 7, 8, 9	4 	0.000228  	1   	0.111111  	485.2x  	E  	0.002053619  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0009308  	amine metabolic process  	4	137 	0.007826  	2   	0.222222  	28.39x  	E  	0.002073344  	1  	0.0627610163520757  	 	 
biological_process  	 GO:0043524  	negative regulation of neuron apoptotic process  	5, 6, 7, 8	138 	0.007883  	2   	0.222222  	28.19x  	E  	0.002102987  	1  	0.0627610163520757  	 	 
