geneIDs	disper	pval	padj	TEcontrol	TEtreated	log2FC_TE(treated vs control)	
ENSG00000186092.7	nan	nan	nan	1.0	1.0	0.0
ENSG00000284733.2	nan	nan	nan	1.0	1.0	0.0
ENSG00000284662.2	nan	nan	nan	1.0	1.0	0.0
ENSG00000187634.13	0.012375139136772535	0.371397274443673	0.9991726835167344	0.4739171208957584	0.5699720750857533	0.26625645714335966
ENSG00000188976.11	0.00309607783470008	0.3016391894917557	0.9991726835167344	0.5596972521857869	0.6079699471918303	0.11935334609998549
ENSG00000187961.15	0.010648647495085376	0.7350227177503725	0.9991726835167344	0.46854491969796036	0.5088665693304775	0.11910004804754903
ENSG00000187583.11	nan	nan	nan	2.184842454588387	0.9982087654502545	-1.130115775527861
ENSG00000187642.10	nan	nan	nan	0.24444595176964606	0.31160534241115373	0.35020445502719566
ENSG00000188290.11	0.011949048731481504	0.14584693817861827	0.9991726835167344	0.4951211499657135	0.6076555320875116	0.29547214222307094
ENSG00000187608.10	0.024416160722352694	0.3367876153859659	0.9991726835167344	0.8209902357815347	1.0877656959437434	0.4059308655081796
ENSG00000188157.15	0.005456466549569814	0.11209271952703637	0.9991726835167344	0.49085236342777433	0.5648611877434074	0.202607213003536
ENSG00000237330.3	nan	nan	nan	1.0	0.7248027499462562	-0.4643396658190252
ENSG00000131591.18	0.012877655456102765	0.1616258570190069	0.9991726835167344	0.17733703245724744	0.2364181044296595	0.414846679563452
ENSG00000162571.14	0.20315717031067332	0.9541971909489393	0.9991726835167344	0.6984030773914618	0.6853870858451799	-0.027140907304724404
ENSG00000186891.14	nan	nan	nan	1.229962059215214	2.554488198161956	1.0544204571772724
ENSG00000186827.12	nan	nan	nan	0.9495956053430838	1.3325940425837675	0.4888521856818958
ENSG00000078808.20	0.0054821041661135845	0.006076116283115995	0.9991726835167344	0.43828553644262136	0.5765281105255686	0.3955198826686539
ENSG00000176022.7	0.009604736308134833	0.9932073758456544	0.9996387120722462	0.15350951013711112	0.15564941120637613	0.019972083945268615
ENSG00000184163.3	0.05672280814917834	0.7244417430456955	0.9991726835167344	1.343127742836199	1.660839985840347	0.3063165592593094
ENSG00000160087.21	0.004005513690464136	0.7359495794084993	0.9991726835167344	0.5078548465868713	0.5246193996418441	0.046854947766598265
ENSG00000162572.21	0.0847052246582349	0.26042753223986714	0.9991726835167344	0.11724079009321368	0.05913192666210769	-0.9874654060901866
ENSG00000131584.19	0.006972063444520247	0.06466867811659793	0.9991726835167344	0.29667037914597266	0.3575223066636387	0.2691723687655134
ENSG00000169972.13	0.005373202124899285	0.8244985525315713	0.9991726835167344	0.811760506361212	0.8413676521226182	0.05168220021259631
ENSG00000127054.22	0.0037967803008329727	0.6841073236877593	0.9991726835167344	0.5178009087140905	0.5386341782673045	0.05690827981413282
ENSG00000224051.7	0.009975892851842019	0.6285518891861739	0.9991726835167344	0.17344057471361907	0.19322070407148723	0.15580824842782404
ENSG00000169962.5	nan	nan	nan	0.04032724377421298	0.019646794142251116	-1.0374608854589509
ENSG00000107404.21	0.0061581865193516515	0.8107072863702458	0.9991726835167344	0.1608546511267162	0.15765557078774184	-0.028981503441960488
ENSG00000162576.17	0.0313514759075519	0.08757821100849705	0.9991726835167344	0.27087124559645803	0.4764368536040094	0.8146777616319207
ENSG00000175756.14	0.005752966423095386	0.02735555978100479	0.9991726835167344	0.7417107995168478	0.923149742447422	0.3157079085906563
ENSG00000221978.13	0.0026810315034894983	0.4062120832317846	0.9991726835167344	0.19986553618716432	0.21532884543078373	0.10751187332010437
ENSG00000242485.6	0.006320331311145982	0.2733032202373682	0.9991726835167344	0.8392577061409144	0.9458080475287772	0.17243353826198948
ENSG00000235098.9	0.01931483279589395	0.023490741873258725	0.9991726835167344	0.1637992820849984	0.3026178325842664	0.8855679710022217
ENSG00000205116.4	0.03322320303414029	0.6927674989872354	0.9991726835167344	0.21921783434545056	0.2653400630192442	0.27547734812828173
ENSG00000179403.12	0.0074833873271263115	0.5804524206302223	0.9991726835167344	0.4919925025902273	0.5308836289952658	0.10975932267323107
ENSG00000215915.10	nan	nan	nan	0.008593474106809888	0.02599124759699389	1.5967124891902635
ENSG00000160072.20	0.028454222831288917	0.9750370412200812	0.9992952418493134	0.1300949586347731	0.13464521222597028	0.049597874114979845
ENSG00000197785.14	0.00984268911110276	0.4822146569782203	0.9991726835167344	0.2442519208464129	0.2673703259276366	0.13046944904899593
ENSG00000205090.9	0.015020733373552529	0.21159158574102943	0.9991726835167344	0.46167032683953985	0.6034394735420537	0.3863460640588372
ENSG00000160075.12	0.004839146170260186	0.8475763973238181	0.9991726835167344	0.29346335030599785	0.2965466337741322	0.01507865420027521
ENSG00000228594.4	0.009485710413979461	0.6259152329108497	0.9991726835167344	0.1618319201051792	0.14548590522759663	-0.1536168057311369
ENSG00000197530.13	0.005835268296427375	0.3991715511460422	0.9991726835167344	0.23942551790020997	0.267743948478206	0.16127704521316533
ENSG00000189409.14	0.021136374099563877	0.8017418734434498	0.9991726835167344	0.6730702370166488	0.6506396918060414	-0.0488982268641609
ENSG00000248333.9	0.005222142265732948	0.07573753524175608	0.9991726835167344	0.2247253951037427	0.2741563064149431	0.28683549476636583
ENSG00000189339.12	0.0039950537955491	0.5238958092573527	0.9991726835167344	0.06679780708596703	0.061757305735653654	-0.11319092702301425
ENSG00000008128.23	0.013243235153995161	0.29443788578149077	0.9991726835167344	7.324853996075974	10.520129998627544	0.5222806241476574
ENSG00000008130.15	0.0032326428218528943	0.4718786102209537	0.9991726835167344	0.2501729162440589	0.26989789577825	0.10948811749093412
ENSG00000078369.19	0.0018817633859593767	0.3948863066656405	0.9991726835167344	0.33583515796513236	0.3512377434288454	0.06469461156200129
ENSG00000169885.10	nan	nan	nan	1.0	0.2968315040212225	-1.752283875289966
ENSG00000178821.13	0.02381708852029579	0.5619703852958425	0.9991726835167344	0.4044803259153782	0.4303105295076508	0.08930861172665705
ENSG00000142609.20	nan	nan	nan	0.2705001854252061	0.323947158103363	0.26012891850070363
ENSG00000187730.9	0.015506509060430745	0.7654086165345548	0.9991726835167344	0.5403723993297298	0.5963112595306771	0.14211159011620633
ENSG00000067606.17	0.010337191450773974	0.6178939332489328	0.9991726835167344	0.32053459804833595	0.3455613348453711	0.10846171444576025
ENSG00000162585.17	0.007951867022763197	0.730862220091862	0.9991726835167344	0.5676172566484806	0.5943080830523867	0.06629255210786755
ENSG00000157933.11	0.0027631441143942145	0.9259204091305111	0.9991726835167344	0.2837519543007225	0.287837682802397	0.02062514873904675
ENSG00000116151.14	0.00934623189170399	0.7191841202769407	0.9991726835167344	1.8499274012297375	1.9959407596749552	0.10960024698389137
ENSG00000157916.20	0.003008042979066646	0.9878548177833162	0.9993244033425747	0.5483038119663323	0.5513292046486288	0.007938521245769992
ENSG00000157911.11	0.017528996173904996	0.34284051167298324	0.9991726835167344	0.43316317997819687	0.35550207435299735	-0.28505263725602936
ENSG00000149527.18	0.008406968838743319	0.7930152954259566	0.9991726835167344	0.22221864913262518	0.23105729475491518	0.05627074152529232
ENSG00000157881.16	0.004574881839865483	0.9788051421047619	0.9992952418493134	0.8280279172570749	0.839163471408915	0.01927246957844031
ENSG00000197921.6	0.017560249465419057	0.4975495778437582	0.9991726835167344	1.0202499261408662	1.164924236706698	0.19131352307517097
ENSG00000157873.18	nan	nan	nan	0.3027379682876301	0.03597196652114251	-3.0731246878208203
ENSG00000157870.17	0.003541809213083656	0.5527733370606212	0.9991726835167344	0.2846294767834102	0.2728347299130701	-0.06105777708271365
ENSG00000142606.16	0.0669198138710697	0.04512999748370483	0.9991726835167344	1.1746594833338089	0.37143699097118993	-1.6610531972919191
ENSG00000215912.13	nan	nan	nan	0.13451692160098955	0.0883283367707502	-0.606839417696948
ENSG00000169717.7	nan	nan	nan	0.7750598126223603	1.1729818025927021	0.5978010769439243
ENSG00000142611.17	0.16093276327922726	0.16817245982987838	0.9991726835167344	0.2598458703127503	0.7215718722544275	1.473486971013846
ENSG00000130762.15	0.04254119082374992	0.9220781659431119	0.9991726835167344	0.524243633347156	0.5382589205720459	0.03806288870992203
ENSG00000162591.17	0.012047373220337668	0.3077190480709213	0.9991726835167344	0.31956250958676913	0.38330764583588045	0.2624046116643204
ENSG00000158109.15	0.004281193746618089	0.8526402688316573	0.9991726835167344	0.4391839166285299	0.44823186436816875	0.02941998996534534
ENSG00000116213.16	0.007684584931192247	0.5561579944704151	0.9991726835167344	0.8795169085303479	0.9688033788477444	0.139492583180221
ENSG00000078900.15	0.011052729938172955	0.8349236584285996	0.9991726835167344	0.42052605405320503	0.4376564890515482	0.05760377453818166
ENSG00000162592.10	0.05734393747582482	0.25463778410482374	0.9991726835167344	1.4607000340555996	2.8629519991203245	0.9708435419226435
ENSG00000235169.11	0.06381633768484218	0.4779357222414008	0.9991726835167344	0.6792065134262567	0.5488194820945392	-0.30751859858129327
